SITE,Waterbody,Year,LATITUDE,LONGITUDE,Easting,Northing,TMEAN,TRANGE,Altitude,Slope,Discharge,Dist_from_Source,Alkalinity,Mean_Width,Mean_Depth,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,lat_raw,lon_raw,EG7,EG43
2007,Blithe,1980,52.83,-1.93,404800,325900,9.59,12.65,97,1.8,3,27,164,10,8.7,25,53,15,7,381469.3356,358232.5581,5,32
2009,Blithe,1980,52.77,-1.84,410900,319000,9.68,12.83,64,3,3,35,144,11,9.2,0,95,5,0,375259.7956,362915.6977,5,35
20100001,Smite,1980,52.89,-0.96,469700,333300,9.92,13.05,28,0.8,2,13,210,3,11.4,0,94,0,6,387678.8756,408706.3953,NA,NA
20100003,Devon,1980,52.87,-0.78,482200,331500,9.84,13.07,73,4.6,1,5,139,1.5,19.6,0,78,22,0,385609.029,418072.6744,NA,NA
20100601,Devon,1980,52.94,-0.79,481200,339000,9.87,13.15,32,3,2,15,139,3,32.6,0,67,33,0,392853.4923,417552.3256,NA,NA
20100603,Devon,1980,53.05,-0.83,478500,351100,9.85,13.26,10,0.8,4,30,210,9,200,0,0,40,60,404237.6491,415470.9302,NA,NA
20100701,Dove,1980,53.2,-1.87,408400,366500,9.84,12.46,250,7.5,2,4,54,4.3,25,80,20,0,0,419761.4991,361354.6512,NA,NA
20100703,Dove,1980,53.13,-1.82,412100,359800,9.67,12.46,214,3,3,11,154,6.5,8.3,87,13,0,0,412517.0358,363956.3953,NA,NA
20100801,Dove,1980,53.05,-1.78,414600,350400,9.64,12.58,140,3.3,4,22,191,9,27.8,81,19,0,0,404237.6491,366037.7907,NA,NA
20100901,Dove,1980,52.95,-1.83,411500,339200,9.6,12.62,83,1.4,6,36,180,12.7,62.2,72,28,0,0,393888.4157,363436.0465,NA,NA
20101001,Dove,1980,52.88,-1.76,416300,331200,9.63,12.81,60,0.9,7,50,155,22.5,49.3,84,12,1,3,386643.9523,367078.4884,NA,NA
20101101,Dove,1980,52.84,-1.6,426800,327000,9.7,12.87,40,0.9,7,64,162,22.5,37.8,0,95,4,1,382504.2589,375404.0698,NA,NA
20101201,Stambourne Brook,1980,52.02,0.56,575900,238400,9.98,13.62,61,2.7,1,5,253.3,2,7.6,11,32,25,32,297640.5451,487799.4186,NA,NA
20101203,Colne,1980,51.96,0.62,579800,232300,9.98,13.65,38,1.4,2,11,240.8,4.2,26.9,6,56,19,19,291431.0051,490921.5116,NA,NA
20101301,Colne,1980,51.93,0.72,586700,228900,10.05,13.73,26,1.3,3,21,221.5,6.4,12.6,23,51,26,0,288326.2351,496125,NA,NA
20200001,Colne,1980,51.91,0.79,592100,227200,10.1,13.67,15,1.3,3,28,217.7,6.6,14.4,12,80,8,0,286256.3884,499767.4419,NA,NA
