"sample_id","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","richness"
"site_00566_date_00003_monitoring_portugual","00566","0003",1872759.53492246,2769955.50394337,"RT20","RT20","RT12",13
"site_00566_date_00028_naiades","00566","0028",2746659.04353681,3696272.93612951,"RT20","RT20","RT04",43
"site_00568_date_00003_monitoring_portugual","00568","0003",1850895.39286888,2710635.58656033,"RT17","RT17","RT11",15
"site_00570_date_00346_monitoring_poland","00570","0346",3368488.78915987,4657793.77156318,"RT4","RT4_5","RT02",22
"site_00570_date_00625_naiades","00570","0625",2749554.53785308,3690447.21613054,"RT4","RT4_5","RT04",28
"site_00571_date_00003_monitoring_portugual","00571","0003",1797496.97554082,2708988.53087645,"RT20","RT20","RT12",21
"site_00571_date_00794_monitoring_uk","00571","0794",3403686.74806066,3544453.75227017,"RT20","RT20","RT03",38
"site_00573_date_00458_naiades","00573","0458",2767534.14301479,3712966.09778291,"RT2","RT2","RT04",53
"site_00574_date_00094_monitoring_poland","00574","0094",3200962.47771154,5046468.09321286,"RT4","RT4_5","RT02",26
"site_00575_date_00351_monitoring_poland","00575","0351",3379245.02244457,4668389.87485568,"RT4","RT4_5","RT02",27
"site_00578_date_00003_monitoring_portugual","00578","0003",1874227.57946833,2766860.97427109,"RT17","RT17","RT11",16
"site_00580_date_00135_rcs","00580","0135",2943722.79349784,3606613.96914002,"RT17","RT17","RT03",48
"site_00582_date_01076_naiades","00582","1076",2770332.05673882,3668442.14853966,"RT4","RT4_5","RT02",43
"site_00583_date_01079_naiades","00583","1079",2766112.93759346,3664985.51188512,"RT5","RT4_5","RT03",56
"site_00584_date_00094_monitoring_poland","00584","0094",3174027.17880938,4992151.25905497,"RT2","RT2","RT04",19
"site_00585_date_00003_monitoring_portugual","00585","0003",1826135.21549432,2696973.2477958,"RT3","RT3","RT12",16
"site_00585_date_00108_monitoring_poland","00585","0108",3368602.18854979,4709589.92636478,"RT3","RT3","RT05",18
"site_00587_date_00003_monitoring_portugual","00587","0003",1807298.17037641,2665290.93767676,"RT20","RT20","RT12",16
"site_00587_date_00383_naiades","00587","0383",2746280.45513536,3648660.59200144,"RT20","RT20","RT02",33
"site_00588_date_00003_monitoring_portugual","00588","0003",1791352.30748462,2720055.24552317,"RT17","RT17","RT11",22
"site_00591_date_00446_monitoring_poland","00591","0446",3404103.23315234,4647182.10587778,"RT6","RT6","RT04",27
"site_00595_date_00784_monitoring_uk","00595","0784",3304330.77285586,3478474.07786513,"RT4","RT4_5","RT02",47
"site_00598_date_00028_naiades","00598","0028",2587735.1766806,3747064.56737276,"RT7","RT7","RT08",57
"site_00598_date_00156_monitoring_poland","00598","0156",3368173.62756415,4657835.11043453,"RT7","RT7","RT02",23
"site_00599_date_00003_monitoring_portugual","00599","0003",1944209.99713967,2830198.967015,"RT19","RT19","RT12",14
"site_00599_date_00461_naiades","00599","0461",2587573.58126583,3747073.03293567,"RT19","RT19","RT09",53
"site_00600_date_00028_naiades","00600","0028",2560183.18794827,3728507.82610572,"RT20","RT20","RT09",35
"site_00601_date_00436_naiades","00601","0436",2583783.1628905,3723451.7349755,"RT9","RT9","RT09",50
"site_00602_date_00003_monitoring_portugual","00602","0003",1915122.23947374,2823834.46070799,"RT20","RT20","RT12",14
"site_00603_date_00015_naiades","00603","0015",2591942.23938137,3720978.2449331,"RT17","RT17","RT08",40
"site_00604_date_00003_monitoring_portugual","00604","0003",1846517.24024022,2811341.59580708,"RT7","RT7","RT12",17
"site_00604_date_00156_monitoring_poland","00604","0156",3362569.35431015,4676608.97926183,"RT7","RT7","RT02",22
"site_00604_date_00561_naiades","00604","0561",2593476.58557576,3717223.36018773,"RT7","RT7","RT09",53
"site_00605_date_00003_monitoring_portugual","00605","0003",1840979.4348185,2837017.74849523,"RT17","RT17","RT11",23
"site_00605_date_00022_naiades","00605","0022",2596893.81444886,3728821.04619997,"RT17","RT17","RT08",31
"site_00606_date_00003_monitoring_portugual","00606","0003",1806939.91285276,2751302.05377873,"RT20","RT20","RT12",23
"site_00606_date_00706_naiades","00606","0706",2596190.99052151,3730400.34950209,"RT20","RT20","RT09",28
"site_00607_date_00003_monitoring_portugual","00607","0003",1812395.55797689,2795610.16831528,"RT20","RT20","RT12",17
"site_00608_date_00003_monitoring_portugual","00608","0003",1773838.42162705,2729872.69190212,"RT19","RT19","RT12",19
"site_00609_date_00003_monitoring_portugual","00609","0003",1945813.24461116,2852498.67646929,"RT18","RT8_10_11_18","RT11",19
"site_00610_date_00003_monitoring_portugual","00610","0003",1949755.51739063,2843767.39023416,"RT20","RT20","RT12",18
"site_00612_date_00003_monitoring_portugual","00612","0003",1909964.78431145,2786461.50250918,"RT20","RT20","RT12",13
"site_00612_date_00936_naiades","00612","0936",2606991.46636626,3751009.95224282,"RT20","RT20","RT09",37
"site_00613_date_00003_monitoring_portugual","00613","0003",1901223.43671607,2777361.49872884,"RT20","RT20","RT12",20
"site_00613_date_00157_naiades","00613","0157",2608713.19962552,3748810.82402954,"RT20","RT20","RT05",44
"site_00614_date_00003_monitoring_portugual","00614","0003",1897857.8570807,2796473.8036871,"RT20","RT20","RT12",20
"site_00616_date_00003_monitoring_portugual","00616","0003",1902810.88058957,2809327.19659186,"RT20","RT20","RT12",19
"site_00618_date_00173_naiades","00618","0173",2616827.57175952,3749648.05745188,"RT8","RT8_10_11_18","RT08",18
"site_00619_date_00003_monitoring_portugual","00619","0003",1890982.17331723,2772442.91878234,"RT19","RT19","RT12",19
"site_00620_date_00003_monitoring_portugual","00620","0003",1884915.18042739,2778633.16220778,"RT19","RT19","RT12",17
"site_00620_date_00173_naiades","00620","0173",2630598.21485016,3754925.76090524,"RT19","RT19","RT04",52
"site_00621_date_00113_naiades","00621","0113",2622636.48834905,3771906.47134195,"RT2","RT2","RT08",37
"site_00622_date_00003_monitoring_portugual","00622","0003",1882992.43445206,2783488.74166315,"RT2","RT2","RT12",22
"site_00622_date_00505_naiades","00622","0505",2625362.90853126,3774909.39900257,"RT2","RT2","RT08",20
"site_00623_date_00003_monitoring_portugual","00623","0003",1876095.26892224,2815509.06634527,"RT19","RT19","RT12",14
"site_00623_date_00505_naiades","00623","0505",2604946.97028779,3763327.18382687,"RT19","RT19","RT08",27
"site_00624_date_00145_naiades","00624","0145",2609901.98886817,3763663.49894587,"RT8","RT8_10_11_18","RT08",42
"site_00625_date_00003_monitoring_portugual","00625","0003",1866871.98795806,2785259.90114075,"RT20","RT20","RT12",19
"site_00625_date_00173_naiades","00625","0173",2616382.48663384,3769675.54273681,"RT20","RT20","RT08",46
"site_00627_date_00003_monitoring_portugual","00627","0003",1859609.25452817,2819688.3154154,"RT17","RT17","RT11",19
"site_00627_date_00684_naiades","00627","0684",2642527.91124221,3770191.13908919,"RT17","RT17","RT09",51
"site_00628_date_00003_monitoring_portugual","00628","0003",1853981.90784328,2779343.2847471,"RT19","RT19","RT12",14
"site_00628_date_00486_naiades","00628","0486",2649077.86355401,3766097.50611737,"RT19","RT19","RT09",48
"site_00630_date_00003_monitoring_portugual","00630","0003",1835943.87646524,2829512.34083267,"RT19","RT19","RT12",29
"site_00631_date_00675_naiades","00631","0675",2648691.81347123,3745374.74916637,"RT5","RT4_5","RT03",32
"site_00633_date_00003_monitoring_portugual","00633","0003",1820881.58611147,2784259.58007415,"RT20","RT20","RT12",30
"site_00634_date_00003_monitoring_portugual","00634","0003",1834952.51686747,2774822.18019075,"RT19","RT19","RT12",18
"site_00635_date_00003_monitoring_portugual","00635","0003",1822177.10033217,2807216.85645865,"RT17","RT17","RT11",25
"site_00635_date_00706_naiades","00635","0706",2688668.92514995,3765634.17026119,"RT17","RT17","RT02",38
"site_00636_date_00003_monitoring_portugual","00636","0003",1821128.71753219,2739983.1956501,"RT20","RT20","RT12",16
"site_00637_date_00003_monitoring_portugual","00637","0003",1818449.00356719,2775151.08848843,"RT20","RT20","RT12",23
"site_00638_date_00003_monitoring_portugual","00638","0003",1803809.07255053,2766890.13791372,"RT20","RT20","RT12",24
"site_00639_date_00003_monitoring_portugual","00639","0003",1804800.52882481,2785186.19383573,"RT19","RT19","RT12",16
"site_00640_date_00003_monitoring_portugual","00640","0003",1809757.47790198,2728986.3082379,"RT9","RT9","RT12",18
"site_00640_date_00133_monitoring_poland","00640","0133",3094745.02645633,5016532.55328643,"RT9","RT9","RT06",27
