"Kingdom","Phylum_division","Subphylum","Superclass","Class","Order","Family","Genus","Latin"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","baetidae","labiobaetis","labiobaetis atrebatinus"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","gyrinidae","gyrinus","gyrinus urinator"
"animalia","arthropoda",NA,NA,"malacostraca","isopoda","asellidae","proasellus","proasellus meridianus"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","caenidae","caenis","caenis pusilla"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","polycentropodidae","polycentropus","polycentropus kingi"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","dytiscidae","oreodytes","oreodytes septentrionalis"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","psychomyiidae","metalype","metalype fragilis"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","leptoceridae","ylodes","ylodes conspersus"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","hydraenidae","hydraena","hydraena rufipes"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","physidae","physa","unknown (physa genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","haliplidae","brychius","unknown (brychius genus)"
"animalia","mollusca",NA,NA,"gastropoda","cycloneritida","neritidae","theodoxus","unknown (theodoxus genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","lepidostomatidae","lepidostoma","unknown (lepidostoma genus)"
"animalia","arthropoda",NA,NA,"insecta","hymenoptera","ichneumonidae","agriotypus","unknown (agriotypus genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","odontoceridae","odontocerum","unknown (odontocerum genus)"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","lymnaeidae","myxas","unknown (myxas genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","normandia","unknown (normandia genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","brachycentridae","micrasema","unknown (micrasema genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","dupophilus","unknown (dupophilus genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","heptageniidae","epeorus","unknown (epeorus genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","psychomyiidae","psychomyia","unknown (psychomyia genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","goeridae","goera","unknown (goera genus)"
"animalia","arthropoda",NA,NA,"insecta","lepidoptera","tortricidae","unknown (tortricidae family)","unknown (tortricidae family)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","polycentropodidae","neureclipsis","unknown (neureclipsis genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","leptophlebiidae","thraulus","unknown (thraulus genus)"
"animalia","cnidaria","unknown (cnidaria phylum)","unknown (cnidaria phylum)","unknown (cnidaria phylum)","unknown (cnidaria phylum)","unknown (cnidaria phylum)","unknown (cnidaria phylum)","unknown (cnidaria phylum)"
"animalia","mollusca",NA,NA,"gastropoda","basommatophora","lymnaeidae","galba","unknown (galba genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","hydrochidae","hydrochus","unknown (hydrochus genus)"
"animalia","arthropoda",NA,NA,"insecta","hemiptera","hydrometridae","hydrometra","unknown (hydrometra genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","riolus","riolus sodalis"
"animalia","arthropoda",NA,NA,"insecta","diptera","cecidomyiidae","unknown (cecidomyiidae family)","unknown (cecidomyiidae family)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","leptoceridae","adicella","unknown (adicella genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","haliplidae","peltodytes","unknown (peltodytes genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","polycentropodidae","cyrnus","unknown (cyrnus genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","sericostomatidae","notidobia","unknown (notidobia genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","beraeidae","beraeodes","unknown (beraeodes genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","athericidae","atrichops","unknown (atrichops genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","limoniidae","pilaria","unknown (pilaria genus)"
"animalia","arthropoda",NA,NA,"insecta","hemiptera","pleidae","plea","unknown (plea genus)"
"animalia","arthropoda",NA,NA,"insecta","heteroptera","corixidae","hesperocorixa","unknown (hesperocorixa genus)"
